Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,class
-0.015998,0.49975,0.084769,1.2311,-51.565,0.13437,-0.014741,1.001,1.3228,0.50024,-0.014741,-0.040191,-0.011144,-0.014741,-12375.0,-0.029496,2.001,-0.014741,-0.011144,74.615,1.1578,-0.00062669,-0.012094,0.013688,0.30984,-0.032011,-0.029775,0.15456,4.9688,0.35761,0.00081221,105.77,3.6275,2.6622,0.0088271,1.3367,1.6149,0.61239,0.006673,0.086241,-26.582,-0.00047376,115.86,41.249,-0.05916,0.82353,74.187,-0.00062669,-0.00047376,0.90351,0.36676,0.27567,0.91206,1.1166,7890.0,0.043218,-0.03198,0.95912,0.22421,4.8918,8.8487,101.2,3.6067,2.4118,1
0.048382,0.59586,0.060603,1.123,-66.574,0.11246,0.065412,0.66799,1.056,0.39803,0.065412,0.13279,0.067103,0.065412,1752.8,0.20823,1.6782,0.065412,0.035376,70.437,1.0436,0.10151,0.026166,0.15122,0.39803,0.17965,0.57975,0.13563,4.1309,0.31415,0.035376,102.68,3.5546,0.17036,0.10151,1.8642,1.9015,0.5013,0.054899,0.064349,0.1223,0.054899,102.94,32.505,0.13559,0.39864,74.384,0.042845,0.023171,0.92839,0.49259,0.28133,0.89083,1.122,819.11,0.053062,0.12155,0.94694,0.25946,5.182,11.229,97.236,3.7538,4.1384,0
0.22868,0.96779,0.25554,1.3618,-34.081,-0.28618,0.28696,0.03328,3.7321,0.032208,0.33947,0.40625,0.083905,0.28696,1128.1,0.32357,1.0333,0.28696,0.076889,17.304,0.89026,0.28078,0.061273,0.23599,-0.057499,0.26334,5.347,6.709,2.5243,0.25931,0.08768,75.27,4.8492,3.5393,0.3068,3.7321,3.0027,0.29363,0.082205,0.56685,0.10509,0.075233,54.915,37.611,1.2924,1.1113,18.854,0.25459,0.068217,0.99392,0.70637,0.20622,0.84558,7.7091,85.459,0.082206,7.1001,0.92563,8.1169,21.093,9.7046,69.083,5.2835,97.983,0
-0.060612,0.53336,0.27217,1.6994,-46.337,0.0,-0.050919,0.8749,1.1404,0.46664,-0.0040623,-0.13084,-0.021463,-0.050919,-7953.4,-0.045892,1.8749,-0.050919,-0.044648,138.56,0.75905,-0.0046607,-0.053148,-0.16722,0.44928,-0.064066,-0.099468,0.80368,4.3956,0.42902,-0.022106,111.98,3.3013,2.4088,-0.12798,1.2807,2.4864,0.5585,-0.11222,0.11637,0.81625,-0.0040868,197.17,58.609,-0.14,1.2288,122.99,-0.031102,-0.027272,1.24,0.38917,0.30291,1.3779,1.6492,6767.0,-0.11226,-0.12989,1.0032,0.19686,2.6342,6.2278,124.55,2.9304,3.3676,1
0.14813,0.70927,0.076411,1.1354,-68.1,-0.059397,0.18609,0.4099,1.9784,0.29073,0.24682,0.3298,0.094058,0.18609,1391.2,0.26236,1.4099,0.18609,0.094058,71.417,1.2183,0.23061,0.074872,0.26534,0.091028,0.20885,3.7975,0.21278,3.6393,0.3585,0.11885,117.59,3.1477,2.5041,0.22681,1.9784,2.3263,0.39973,0.11464,0.044807,0.10252,0.11656,113.53,42.114,0.38266,0.44937,79.553,0.23061,0.11656,0.90327,0.56425,0.31769,0.80958,1.1131,333.0,0.11471,0.50951,0.92842,0.37491,5.1108,8.6669,104.1,3.5063,5.5093,1
-0.14303,0.78009,-0.31234,0.48517,-228.52,-0.29223,-0.14303,0.2819,0.70113,0.21991,-0.12356,-0.23576,-0.204,-0.14303,-1990.7,-0.18335,1.2819,-0.14303,-0.204,114.96,1.0142,-0.13401,-0.204,-0.48218,-0.43526,-0.18335,-6.8802,-0.44262,3.9746,1.1115,-0.18392,362.1,1.3958,1.0855,-0.14059,0.7182,0.53635,0.35696,-0.20052,0.008431,-0.19405,-0.19113,150.57,35.606,-0.64769,0.12117,95.19,0.0,0.0,0.37732,0.60668,0.99205,0.31164,0.50586,-2946.2,0.12778,-0.65043,1.2062,0.62325,3.1749,10.251,315.83,1.1557,0.99359,1
-0.42995,1.077,-0.39017,0.48991,-278.92,-0.93126,-0.42995,-0.25035,0.65773,-0.26962,-0.42995,-0.56209,-0.63276,-0.42995,-1027.9,-0.3551,0.92854,-0.42995,-0.71138,115.75,0.38766,-0.35566,-0.71138,-0.93126,-0.26962,-0.3551,-3.8706,-0.62401,4.3813,1.7235,-0.71138,303.83,1.2013,-0.33025,-0.35566,0.63979,0.58663,0.042439,-0.58847,0.16813,-0.1149,-0.58847,148.64,32.888,-2.2432,0.23933,76.134,-0.40318,-0.66709,0.34795,0.7649,0.83242,-0.43121,0.067873,-9388.3,-0.52038,1.5946,1.5204,-1.1574,3.1533,11.098,461.94,0.79014,0.96659,0
0.006096,0.65099,0.001038,1.0019,-302.89,0.004412,0.006096,0.53613,0.99536,0.34901,0.006748,0.011116,0.011607,0.006096,20567.0,0.017747,1.5361,0.006096,0.006125,174.15,1.023,0.0,0.006125,0.038862,0.26081,0.017747,0.0,0.002305,4.6411,0.64912,0.015582,350.22,1.0422,0.87795,0.002502,0.99536,6.3052,0.36083,0.002514,0.013282,3.9767,0.0,198.81,24.656,0.012836,0.13589,303.29,-0.005457,-0.005482,0.844,0.5484,0.95951,0.77461,0.80084,45.444,0.4258,0.017467,0.57571,0.033864,2.0959,14.804,201.1,1.815,2.2091,0
0.056744,0.87373,-0.0053868,0.9919,-62.608,-0.34605,0.059946,0.14453,2.0618,0.12628,0.10099,0.090182,0.058629,0.059946,2638.2,0.13835,1.1445,0.059946,0.029074,63.662,1.0275,0.039666,0.027521,0.0903,-0.22494,0.13469,0.9664,-0.015823,3.6666,0.41736,0.048779,116.58,3.3063,2.5154,-0.019293,2.2987,16.645,0.14429,-0.0093573,0.029822,0.2895,0.019238,113.21,49.549,0.15779,0.57083,59.724,-0.021271,-0.010317,0.75462,0.66473,0.30245,0.37092,0.42382,-25.0,-0.0094054,0.44936,0.95611,0.1426,5.7334,7.3664,117.67,3.1018,6.0563,1
0.03131,0.44305,0.1628,1.3773,-20.16,0.45222,0.039662,1.1764,1.0256,0.52122,0.039662,0.09191,0.052901,0.039662,1706.7,0.21386,2.2571,0.039662,0.022144,46.942,0.59817,0.054874,0.017481,0.56411,0.52122,0.19501,0.3142,0.4013,4.1681,0.24159,0.022144,90.187,4.0472,0.12386,0.054874,1.8203,31.594,0.53274,0.030637,0.086877,0.13246,0.030637,113.47,66.532,0.13592,0.84345,48.143,-0.00021524,-0.00012017,1.3414,0.43153,0.24709,1.2848,1.3132,2397.7,0.024927,0.06007,0.97507,0.022102,7.7755,5.4861,87.939,4.1506,4.4151,0
-0.16852,0.78132,-0.18073,0.74775,-12.383,0.0,-0.16852,0.27965,9.2388,0.2185,-0.09671,-0.23521,-0.0089591,-0.16852,-3445.4,-0.10594,1.2799,-0.16852,-0.018241,4.8406,0.86389,-0.11114,-0.018241,-0.098148,0.20921,-0.10594,-1.5477,-0.38944,3.7346,0.080877,-0.016877,28.299,13.164,12.071,-0.0024539,9.3377,9.5363,0.26183,-0.00026561,0.073011,-1.0257,-0.01203,19.099,14.258,-1.3754,0.24402,4.7418,-0.19689,-0.021312,0.68569,0.71647,0.075967,0.47082,0.56419,-981.0,-0.00025923,-0.77127,1.01,0.19831,75.404,25.599,28.306,12.895,19.908,1
-0.17408,1.5376,0.25078,1.3355,-20.41,-0.39502,-0.17408,-0.34994,2.2893,-0.53806,-0.10387,-0.23292,-0.075588,-0.17408,-3243.2,-0.11254,0.65038,-0.17408,-0.076041,61.891,0.71183,-0.13272,-0.076041,-0.4641,-0.56909,-0.11254,-1.8905,193.3,3.2071,0.66253,-0.076041,111.51,3.2991,1.6036,-0.15741,2.3621,0.88051,0.15468,-0.068758,0.03103,-0.38921,-0.057975,155.45,93.555,-0.44845,0.55042,57.917,-0.13376,-0.058427,0.64917,0.74736,0.30551,-414.74,119.23,404.0,-0.068601,0.32353,1.0438,-1.2875,5.8975,3.9014,119.16,3.0631,1764.6,1
0.088272,0.5281,0.52916,5.6289,42.419,0.0,0.11076,0.89359,3.2776,0.4719,0.13376,0.96888,0.057824,0.11076,1017.1,0.35888,1.8936,0.11076,0.033793,18.266,1.2465,0.13185,0.026932,0.20684,0.35565,0.3163,5.7328,1.4842,4.1942,0.10918,0.040521,13.27,27.506,5.9542,0.13322,3.2776,1.2122,0.86743,0.040646,1.5236,0.083582,0.040227,52.263,33.996,0.53816,4.194,19.04,0.053083,0.016196,1.2185,0.11432,0.036356,1.3236,2.433,8275.1,0.040646,0.18706,0.96638,0.83816,19.982,10.736,12.73,28.671,9.1931,0
-0.058442,0.99975,-0.44125,0.49573,-189.33,0.0,-0.058442,0.00032869,1.0416,0.0003286,0.0078367,-0.066788,-0.029293,-0.058442,-11960.0,-0.030518,1.0002,-0.058442,-0.056109,45.102,0.74648,0.0075342,-0.056109,-0.32892,-0.15128,-0.030518,0.11368,-0.77929,3.9049,0.94771,-0.011317,283.97,1.3054,1.1426,-0.083157,1.1501,2.4486,0.12492,-0.079837,0.032859,0.93965,0.0072335,141.93,96.833,-0.45408,0.17994,41.125,-0.020397,-0.019583,0.43389,0.87503,0.76603,0.00058035,0.22063,-3545.0,-0.079828,-177.85,0.99318,379.17,8.0928,3.7694,306.64,1.1903,1.8395,1
0.04056,0.81739,0.054188,1.1207,-7.8623,0.066965,0.05281,0.1622,1.023,0.13258,0.05281,0.11767,0.06158,0.05281,2060.7,0.17712,1.2234,0.05281,0.022462,11.748,3.0353,0.053497,0.017252,0.087231,0.13258,0.16214,0.23278,0.10903,4.785,0.28816,0.022462,71.279,5.1207,0.065448,0.053497,2.384,1.1593,0.50118,0.022754,0.37122,0.18474,0.022754,52.222,40.474,0.53601,0.95213,12.018,-0.038472,-0.016364,0.61535,0.44879,0.19529,0.26675,1.0084,3303.3,0.022516,0.30592,0.97748,2.7801,31.07,9.0181,69.674,5.2387,4.7303,0
0.020319,0.86815,-0.073935,0.91334,-45.782,-0.098908,0.022551,0.15187,2.1617,0.13185,0.079474,0.026434,0.029234,0.022551,5014.4,0.072791,1.1519,0.022551,0.010432,38.163,0.77481,0.079474,0.0093996,-0.040908,-0.040995,0.07022,1.3962,-0.33482,4.0481,0.40144,0.023882,131.92,2.8146,2.7658,-0.1988,2.4807,982.51,0.13241,-0.091967,0.00073445,0.24092,0.036765,131.46,93.298,0.089901,0.26566,34.356,0.038831,0.017964,0.89752,0.85311,0.35529,0.59708,0.59963,-826.0,-0.091967,0.15411,0.96795,0.0042702,9.5644,3.9122,144.05,2.5338,9.7892,1
0.13447,0.043053,0.12729,4.3106,152.52,-0.61625,0.13447,22.228,0.35711,0.95697,0.15081,3.4974,0.5373,0.13447,81.898,4.4568,23.227,0.13447,0.37655,4.5096,1.1555,0.02466,0.37655,-0.35319,-0.2329,4.4568,1.5091,0.15258,4.2987,-0.091997,0.42231,42.563,8.7768,7.8381,0.027396,0.48829,146.67,0.95807,0.076716,2.0844,0.017487,0.069055,87.487,82.978,30.477,2.1991,4.7723,-0.032747,-0.091699,3.8496,0.038448,0.11394,1.1471,1.1484,2532.2,0.076717,0.14052,0.69109,0.0011493,80.939,4.3988,39.298,9.2881,0.42805,1
0.31105,1.0689,0.026328,1.0295,-2.5602,0.025658,0.31306,-0.06449,1.7533,-0.068935,0.32237,0.35101,0.17856,0.31306,1246.3,0.29287,0.93551,0.31306,0.17856,7.1407,1.209,0.20466,0.17741,0.34736,0.33677,0.29099,21.978,0.32187,4.174,0.41401,0.18387,209.11,1.7744,1.4805,0.16259,1.7533,5.2776,0.098546,0.092736,0.38834,0.1741,0.11673,119.05,111.91,9.0684,0.99106,7.9109,0.20466,0.11673,0.85899,0.89187,0.56356,-0.84275,1.2048,393.0,0.11207,-4.5121,0.90795,-2.4295,51.115,3.2616,185.67,1.9658,21.434,1
0.17651,0.78439,-0.2053,0.69972,-98.676,0.030427,0.17651,0.27487,1.8805,0.21561,0.2134,0.25816,0.12796,0.17651,1189.8,0.30678,1.2749,0.17651,0.093863,46.468,1.0297,0.20497,0.093863,0.35269,0.09627,0.30678,5.5565,-0.3936,4.0873,0.41386,0.10391,167.7,2.4803,2.1619,0.20244,1.9092,2.8732,0.29879,0.10765,0.012681,0.097163,0.109,91.175,44.706,0.73727,0.34956,51.529,0.14085,0.074899,0.60991,0.68371,0.40317,0.41336,0.57284,0.69972,0.20869,0.81866,0.80803,0.38581,7.8548,8.1644,132.71,2.7504,3.6053,1
0.099086,0.92325,0.0054896,1.0161,-37.146,-0.048417,0.093348,0.083131,1.2791,0.07675,0.13647,0.27409,0.12188,0.093348,2161.5,0.16886,1.0831,0.093348,0.072978,18.501,1.1181,0.035949,0.077463,0.039396,0.050797,0.17508,0.83373,0.0083948,4.5211,0.66445,0.10668,100.0,3.6499,1.3464,0.036079,1.2791,0.53926,0.59827,0.028205,0.39868,0.31243,0.028104,60.005,41.504,1.5282,0.82574,19.038,-0.026606,-0.0208,0.37484,0.34058,0.27398,0.11737,0.91488,182.23,0.028205,1.291,0.93253,6.795,19.728,8.7944,97.183,3.7558,1.9561,0
0.080922,0.45606,0.52851,2.5752,19.062,0.0,0.10138,1.1927,1.4126,0.54394,0.12931,0.30216,0.081258,0.10138,1450.2,0.25168,2.1927,0.10138,0.07177,113.82,1.0233,0.12661,0.057287,0.26449,0.53616,0.20682,4.5337,3.8873,3.8081,0.22332,0.072679,96.684,3.7752,2.7774,0.14591,1.4126,4.9002,0.63037,0.10329,0.48361,0.10858,0.089632,181.33,67.512,0.18371,1.2623,126.93,0.11321,0.080144,1.8946,0.33553,0.26489,4.0007,4.6364,3397.2,0.10329,0.14877,0.92904,0.1589,3.2068,5.4064,86.698,4.21,10.39,0
0.48585,0.26128,0.60218,3.3208,113.84,0.21659,0.60016,2.8273,2.4676,0.73872,0.60027,2.313,0.25873,0.60016,149.38,2.4435,3.8273,0.60016,0.24322,0.07075,1.2592,0.52951,0.19689,0.81102,0.73118,2.006,5200.7,4.3526,3.8215,-0.09189,0.24326,49.133,7.4288,7.3774,0.54004,2.4676,476.65,0.74053,0.21885,1.8973,0.015339,0.21459,54.633,54.563,1015.8,3.319,0.090572,0.49125,0.19908,3.2978,0.25947,0.13461,5.3396,5.3526,3992.2,0.21885,0.65769,0.76357,0.002446,5159.0,6.6896,38.38,9.5101,17.836,0
0.03915,0.95861,0.066667,1.1235,-15.719,0.0,0.03915,0.043055,1.7203,0.041272,0.071473,0.072518,0.043224,0.03915,4705.5,0.077568,1.0432,0.03915,0.022758,28.443,0.56175,0.071468,0.022758,-0.11123,-0.11123,0.077568,2.2111,0.1694,3.3608,0.54158,0.041548,119.29,3.0623,1.7246,0.06844,1.7247,1.1276,0.46029,0.039785,0.055973,0.29954,0.041545,122.28,93.839,0.29205,0.30428,29.596,0.036261,0.021079,0.63273,0.53987,0.32655,0.10488,1.1696,153.0,0.039767,0.94859,0.95858,10.152,12.833,3.8897,114.55,3.1864,4.3713,1
