Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,class
0.086086,0.65377,0.3198,1.9366,36.608,0.0,0.10852,0.52959,1.7277,0.34623,0.27762,0.31784,0.079828,0.10852,1730.2,0.21096,1.5296,0.10852,0.062815,35.517,1.1219,0.24855,0.049827,0.29601,0.34563,0.17664,1.4699,0.94403,4.9197,0.32198,0.074515,91.869,4.3829,2.289,0.37111,1.7741,2.1142,0.57947,0.2148,0.29282,0.078406,0.14386,118.57,83.058,0.51206,0.78519,41.004,0.21915,0.12685,1.0114,0.34144,0.22816,1.0221,1.7106,26580.0,0.2148,0.24864,0.84352,0.67366,10.277,4.3945,72.135,5.0599,5.1,1
0.25079,0.67863,-0.13089,0.71974,-89.903,-0.21709,0.30867,0.47337,1.6717,0.32125,0.39944,0.66092,0.28303,0.30867,523.53,0.69719,1.4736,0.30867,0.18465,42.762,1.0,0.3823,0.15003,0.61734,0.29683,0.61191,4.2115,-0.1972,3.9133,0.39878,0.20952,113.87,3.2316,2.224,0.17448,1.9089,0.68844,0.52503,0.10438,0.045195,0.041373,0.22869,68.786,26.023,1.2805,0.46454,47.364,0.21783,0.1303,0.49532,0.46703,0.30944,0.484,0.79102,-1072.0,0.10445,0.78069,0.79067,0.63436,8.5355,14.026,101.97,3.5793,2.5186,1
0.18835,0.43032,0.36039,2.0857,36.159,0.0,0.23045,1.3238,2.4371,0.56968,0.23949,0.69424,0.13878,0.23045,464.41,0.78594,2.3238,0.23045,0.094557,20.32,1.441,0.23346,0.077286,0.32316,0.49076,0.68813,25.812,1.1713,3.5834,0.17301,0.098239,54.647,6.7058,5.1727,0.21995,2.4655,8.2441,0.6372,0.090248,0.062178,0.042037,0.095795,100.6,80.277,1.3883,0.47091,22.247,0.1257,0.051577,1.6089,0.33194,0.14912,1.8516,2.071,1381.0,0.090267,0.33063,0.90284,0.11852,17.963,4.5467,49.714,7.342,7.9211,1
0.006096,0.65099,0.001038,1.0019,-302.89,0.004412,0.006096,0.53613,0.99536,0.34901,0.006748,0.011116,0.011607,0.006096,20567.0,0.017747,1.5361,0.006096,0.006125,174.15,1.023,0.0,0.006125,0.038862,0.26081,0.017747,0.0,0.002305,4.6411,0.64912,0.015582,350.22,1.0422,0.87795,0.002502,0.99536,6.3052,0.36083,0.002514,0.013282,3.9767,0.0,198.81,24.656,0.012836,0.13589,303.29,-0.005457,-0.005482,0.844,0.5484,0.95951,0.77461,0.80084,45.444,0.4258,0.017467,0.57571,0.033864,2.0959,14.804,201.1,1.815,2.2091,0
0.062534,0.31277,0.36961,2.7728,39.29,0.0,0.063748,2.1972,1.6233,0.68723,0.080785,0.30576,0.10554,0.063748,666.31,0.54779,3.1972,0.063748,0.03927,48.878,0.96423,0.076885,0.038522,0.15233,0.50799,0.54391,4.5127,0.87606,5.0295,0.14267,0.04423,50.845,7.1786,4.7852,0.12665,1.6233,4.9757,0.75972,0.07802,0.39232,0.056517,0.047362,111.59,62.714,0.28767,1.7301,53.014,-0.030702,-0.018913,1.8483,0.20849,0.1393,1.6289,1.8007,39560.0,0.07802,0.090995,0.96091,0.10549,7.4675,5.8201,46.878,7.7861,3.8477,0
0.00054362,0.49266,-0.032906,0.87276,-21.067,0.0,0.00054362,1.0298,0.99301,0.50734,0.014128,0.0021021,0.090021,0.00054362,2011.6,0.18145,2.0298,0.00054362,0.00054745,3.3652,0.76188,0.01368,0.00054745,0.41918,0.00054362,0.18145,1.007,-0.042498,4.2188,0.49391,0.01418,94.754,3.8521,2.0221,-0.0031925,0.99301,2.669,0.58847,-0.003215,0.051206,0.16017,0.013777,78.096,74.731,0.059378,0.83736,3.3544,-0.075168,-0.075697,0.45814,0.25861,0.2596,0.65523,0.76002,-544.59,-0.003215,0.0010715,0.99947,0.15993,108.46,4.8842,95.059,3.8397,1.2825,0
0.078599,0.43,0.069653,1.1661,-21.324,0.0,0.10142,1.3256,3.0992,0.57,0.12134,0.2418,0.054526,0.10142,928.78,0.39299,2.3256,0.10142,0.032724,27.338,0.98575,0.11839,0.025362,0.39722,0.52856,0.33993,5.9432,0.13633,3.6001,0.10652,0.039152,51.171,7.133,6.9575,0.10741,3.0992,24.294,0.58058,0.034658,0.26377,0.077076,0.038202,44.571,17.233,0.33861,0.61264,28.319,0.050824,0.016399,1.1374,0.41942,0.14019,1.1156,1.1363,277.35,0.034658,0.13789,0.96755,0.018556,13.351,21.18,49.397,7.3891,6.0658,0
0.17306,0.70307,-0.072816,0.83106,-52.551,-0.18539,0.17306,0.42225,1.2436,0.29687,0.20853,0.40151,0.17944,0.17306,1150.0,0.31739,1.4223,0.17306,0.13916,22.923,1.997,0.19926,0.13916,0.2116,-0.012331,0.31739,5.6163,-0.11347,3.2122,0.56136,0.13916,145.78,2.5149,1.5417,0.16442,1.2925,1.0285,0.56921,0.13222,0.011572,0.093987,0.16023,103.67,80.747,2.2159,0.19277,26.415,0.14917,0.11995,0.50947,0.43101,0.3994,0.46262,0.88702,-118.69,0.13222,0.58293,0.83865,0.91738,15.923,4.5203,126.51,2.8852,1.9379,1
0.099086,0.92325,0.0054896,1.0161,-37.146,-0.048417,0.093348,0.083131,1.2791,0.07675,0.13647,0.27409,0.12188,0.093348,2161.5,0.16886,1.0831,0.093348,0.072978,18.501,1.1181,0.035949,0.077463,0.039396,0.050797,0.17508,0.83373,0.0083948,4.5211,0.66445,0.10668,100.0,3.6499,1.3464,0.036079,1.2791,0.53926,0.59827,0.028205,0.39868,0.31243,0.028104,60.005,41.504,1.5282,0.82574,19.038,-0.026606,-0.0208,0.37484,0.34058,0.27398,0.11737,0.91488,182.23,0.028205,1.291,0.93253,6.795,19.728,8.7944,97.183,3.7558,1.9561,0
-0.18257,0.8448,-0.28995,0.5086,-164.29,-0.23909,-0.22144,0.18371,0.82539,0.1552,-0.18347,-0.37529,-0.18497,-0.22144,-2019.7,-0.18072,1.1837,-0.22144,-0.26829,71.72,0.87335,-0.18355,-0.2212,0.97396,0.13941,-0.13471,-4.8334,-0.41428,3.9073,1.0235,-0.2304,209.93,1.7956,1.2541,-0.20051,0.82539,0.96703,0.29782,-0.24293,3.2e-05,-0.24534,-0.22238,132.7,60.982,-1.1257,0.23374,55.872,-0.25232,-0.3057,0.35524,0.59006,0.55692,0.22175,0.42552,-2342.1,-0.24293,-1.1764,1.3297,0.91896,5.0893,5.9853,260.93,1.3988,1.1793,1
