,gmrt_in_air1,gmrt_on_paper1,max_x_extension1,max_y_extension1,paper_time1,pressure_mean1,pressure_var1,total_time1,air_time2,gmrt_in_air2,max_x_extension2,max_y_extension2,pressure_mean2,pressure_var2,total_time2,gmrt_in_air3,max_x_extension3,max_y_extension3,paper_time3,pressure_mean3,pressure_var3,total_time3,gmrt_in_air4,max_x_extension4,max_y_extension4,paper_time4,pressure_mean4,pressure_var4,total_time4,air_time5,gmrt_in_air5,max_x_extension5,max_y_extension5,pressure_mean5,pressure_var5,total_time5,gmrt_in_air6,max_x_extension6,max_y_extension6,paper_time6,pressure_mean6,pressure_var6,total_time6,gmrt_in_air7,gmrt_on_paper7,max_x_extension7,max_y_extension7,paper_time7,pressure_mean7,pressure_var7,total_time7,gmrt_in_air8,max_x_extension8,max_y_extension8,paper_time8,pressure_mean8,pressure_var8,total_time8,gmrt_in_air9,max_x_extension9,max_y_extension9,paper_time9,pressure_mean9,pressure_var9,total_time9,air_time10,gmrt_in_air10,gmrt_on_paper10,max_x_extension10,max_y_extension10,pressure_mean10,pressure_var10,total_time10,gmrt_in_air11,max_x_extension11,max_y_extension11,paper_time11,pressure_mean11,pressure_var11,total_time11,gmrt_in_air12,max_x_extension12,max_y_extension12,paper_time12,pressure_mean12,pressure_var12,total_time12,gmrt_in_air13,max_x_extension13,max_y_extension13,paper_time13,pressure_mean13,pressure_var13,total_time13,gmrt_in_air14,max_x_extension14,max_y_extension14,paper_time14,pressure_mean14,pressure_var14,total_time14,air_time15,gmrt_in_air15,max_x_extension15,max_y_extension15,pressure_mean15,pressure_var15,total_time15,air_time16,gmrt_in_air16,max_x_extension16,max_y_extension16,pressure_mean16,pressure_var16,total_time16,air_time17,gmrt_in_air17,max_x_extension17,max_y_extension17,pressure_mean17,pressure_var17,total_time17,air_time18,gmrt_in_air18,max_x_extension18,max_y_extension18,pressure_mean18,pressure_var18,total_time18,max_x_extension19,max_y_extension19,paper_time19,pressure_mean19,pressure_var19,total_time19,air_time20,gmrt_in_air20,max_x_extension20,max_y_extension20,pressure_mean20,pressure_var20,total_time20,air_time21,gmrt_in_air21,max_x_extension21,max_y_extension21,pressure_mean21,pressure_var21,total_time21,max_x_extension22,max_y_extension22,paper_time22,pressure_mean22,pressure_var22,total_time22,air_time23,gmrt_in_air23,max_x_extension23,max_y_extension23,pressure_mean23,pressure_var23,total_time23,max_x_extension24,max_y_extension24,paper_time24,pressure_mean24,pressure_var24,total_time24,air_time25,max_x_extension25,max_y_extension25,pressure_mean25,pressure_var25,total_time25,class
155,339.6148587,186.6962584,1559,6988,3980,1984.668342,48511.92518,5240,440,89.40991236,245,5092,2032.219219,16245.44744,3770,134.8763449,4353,740,8725,1943.598281,21228.79163,9390,85.74652846,4578,4518,33065,2009.613942,48697.14704,48680,565,124.0874135,2603,2459,2018.692737,43056.0676,20255,155.1470037,1595,4961,3750,1891.061333,165031.0016,7120,110.3858013,157.5019931,12836,1239,6055,1920.81668,150628.4916,15795,609.2028938,3012,7825,4055,2030.805179,15493.94478,4635,178.2749785,1282,4200,7200,2029.282639,15553.76109,9185,4830,111.4589837,130.3233341,1807,3494,1944.300832,104569.4113,9035,119.9131692,1756,3574,3945,1958.60583,81632.30724,7040,317.2057718,504,4499,3730,1890.61126,150153.4387,4500,121.9908783,1468,5288,6810,2006.035977,37163.53248,11370,231.7362802,5759,4363,12020,1933.531614,113588.5094,20295,26585,83.19820035,1936,8448,1759.075956,258988.3541,36130,8830,182.522639,1083,3648,1678.095119,393607.4628,12825,9930,501.4332661,11969,13649,1887.790344,127731.4344,24740,1040,200.2229802,1549,4586,1893.475524,111372.7762,3185,7399,9865,34515,1412.931334,193905.2553,102125,3890,216.9495592,2037,15650,1833.014771,244949.3321,17430,9825,357.2733794,9397,15757,1982.732273,56645.00852,56645,1526,7682,9030,1749.29402,357986.4966,14000,7170,144.8716361,1508,9959,1797.961924,282127.06,14655,16379,15479,25760,1888.899651,155196.772,85170,54005,8746,17549,1884.64449,155557.528,117435,0
144,468.028309,254.5413051,1443,6013,2025,1889.881481,90937.94645,8000,685,91.45195606,723,4638,2030.488994,19744.2283,12270,45.25308137,3655,226,4605,2007.314875,40607.4926,5290,201.9146702,5354,4247,11565,2022.304799,30607.99746,17560,1315,171.6860311,2246,2389,2030.836559,17607.01988,8290,333.5835712,1938,4595,1925,1855.755844,142795.691,10385,274.3325376,443.3307352,12502,1209,2050,1834.343902,202792.5427,7630,275.3546026,1990,4719,2765,2030.616637,16613.57817,3805,205.950592,1315,4537,3605,2014.531207,40797.43627,7295,2920,368.3211841,223.3295346,1914,3047,1846.393593,153727.781,5105,287.9922177,2136,2812,1690,1963.733728,68653.04744,4710,305.0991121,850,5573,3330,1925.711712,127411.6917,4645,350.2699023,938,5081,2900,1895.377586,132930.435,5780,292.1248256,6155,5537,5780,1894.016436,101422.8051,10655,4340,88.86571804,1504,3651,1584.18665,294498.5523,8385,1275,84.15860287,540,1837,1569.370861,291812.5181,2785,15835,323.8036088,12111,14330,1849.852907,132890.3473,28820,2090,114.6794663,1401,3497,1817.861496,188887.3382,3895,7184,10275,21595,1734.332253,235654.5914,57620,9010,274.5805438,1558,11138,1793.212864,146474.8429,15540,2230,375.395582,9462,15766,2023.03624,32718.81354,30100,824,4818,4050,1845.120988,153470.3162,6845,2925,145.4847661,1122,5929,1852.978335,160643.8045,7310,3713,3678,16300,1909.025767,125233.8969,25450,20335,6147,11765,1727.875637,187862.8199,50730,0
101,358.1849443,150.0695576,1439,4351,2940,1542.095238,122983.5079,99626,575,44.48829498,143,4863,1967.027861,71867.26092,5600,101.0980666,4304,177,4255,1930.587544,95077.0414,4650,66.87582088,4170,4418,17760,2022.372748,18818.94552,18355,1055,110.3181879,2613,2532,2002.721795,28524.46284,13420,229.4906108,1963,4924,2285,1480.170678,144309.0475,12490,574.6754285,389.7830942,12932,1128,2505,1538.221557,171906.7353,5135,3210.12768,3380,7477,3235,2032.157651,7646.145162,3360,515.8813729,1301,3225,4425,1715.19322,140163.4146,11950,1980,193.2461088,203.3290197,2051,3391,1327.392283,221771.4345,5090,201.1081181,2190,3042,2800,1493.873214,165680.2357,5320,389.9346054,854,5211,3720,1389.619624,150429.061,6035,283.081448,630,5392,3770,1579.189655,128422.2677,5665,330.1057688,3507,14993,8275,1380.956495,220773.7032,20525,8240,54.90919978,1775,3352,1366.612978,141309.491,12555,1830,90.99230724,606,2408,1480.205128,109915.4591,3975,12885,319.4495888,12589,13791,1427.727878,183390.3116,28650,545,136.9286557,1163,2304,1547.48,71198.86498,2170,7461,9812,22150,1397.789165,104464.0486,52825,2710,174.1197625,1869,9463,1512.097468,87768.73987,10610,11155,181.1237882,9282,16060,1954.334135,91606.5428,52740,1143,5921,4520,1661.886062,182089.5456,6635,2515,185.0244423,1062,6073,1586.428925,146300.9915,6560,11091,11700,11860,1686.35118,175000.711,37070,18940,6131,16084,1489.56282,109525.6773,55035,0
127,595.5720139,498.8908171,2316,8467,2925,1948.723077,86732.29596,4795,4180,50.47602571,200,4439,1805.642082,198126.5817,17535,100.7608461,4383,84,3905,2032.555698,15938.11374,4240,184.3372536,4336,4174,45365,1965.696903,97087.65111,54455,710,45.41667178,2534,2421,2023.304425,31474.3594,23195,124.7072161,1547,3467,2765,1772.0,127921.519,7235,228.5522906,198.3165032,12331,944,4800,1882.240625,116302.1327,9240,206.5496823,717,1926,1595,1899.92163,93254.99386,1975,125.9976192,1159,2746,6310,1974.301109,73609.91092,7795,1325,90.90808824,135.3671015,1459,1984,1821.075704,105465.5946,4165,192.7281468,1697,1982,2605,1835.68906,111296.3371,12090,220.6549708,1053,4198,4350,2002.034483,42266.57812,5975,189.0328478,793,3472,7265,1992.744666,39208.23556,8460,142.5357772,3488,2888,8085,1838.103278,156050.758,16225,5675,93.85886125,829,5379,1843.203604,214098.1249,14000,1905,98.63233083,599,2415,1794.706044,261183.7625,3725,12680,262.8507924,11767,12270,1879.453955,128292.7145,30380,2235,332.3762955,834,3345,1798.323596,252021.3335,4460,6935,9672,20240,1747.289279,221429.4862,57730,3745,127.6820183,647,8868,1855.173456,205339.6821,11355,6600,365.988801,9440,15004,1763.715772,82930.41502,58495,802,5360,5680,1381.692782,157846.2445,12580,3220,163.4319212,859,6892,1838.942373,205400.7504,7645,3582,4047,20015,1738.52036,386371.5106,43465,38885,6655,13621,1739.271067,264041.3716,77215,0
140,419.2634418,412.5042595,3258,8739,4040,1969.540842,41693.33249,5595,5225,125.4063481,4980,2650,2021.8976,19162.98791,8350,93.40083427,4735,223,3400,1935.582353,21338.14322,3690,121.3642652,4751,4649,27245,1896.064048,164992.0357,33710,640,77.36383168,2874,2654,2019.752218,40602.21847,15290,377.7158424,1735,7432,3600,1960.723611,113540.1444,6735,447.7922803,277.6339263,13158,1831,4635,1978.225458,68938.9578,9905,156.5881815,1385,2427,2910,1961.61512,96237.58383,5030,309.8242508,2445,6378,5835,2036.445587,10887.55467,7525,970,505.7797549,225.51805,3101,5204,1987.441939,68418.85542,5405,321.0043867,2423,4056,4075,1983.985276,66266.72616,5360,242.8299425,1010,4807,2315,1870.786177,107417.3301,3670,408.6049057,1175,8016,4935,1970.038501,62631.19406,6385,557.8553359,7146,6117,10875,1987.311264,62775.19553,19265,11130,154.8035707,2698,4730,1865.823346,165648.1906,17555,8050,443.0924723,12266,14671,1728.66283,191766.1527,19780,52265,263.8893115,13002,14655,1882.307338,191620.0563,83745,1020,376.3498575,2081,4738,2022.042056,26393.57611,4230,6906,11223,16565,1599.788107,211532.6807,64685,2265,257.6876483,1432,14334,1848.067084,122770.2307,7855,2545,476.9867469,9364,17714,1958.555122,62245.33699,24315,923,6177,3100,1754.712903,145919.8369,5205,2030,286.7731968,853,7794,1582.85042,215595.0986,5005,3884,4312,8095,1596.8042,220259.5904,33805,15150,7008,16114,1843.348329,137208.31,39380,0
138,116.0650587,289.4690001,1839,4320,2765,1993.070524,65342.81419,12065,1390,406.1954085,360,5107,1923.947309,129692.6441,5850,58.14902904,4166,127,5330,2009.902439,42549.15746,5900,56.1678672,4453,4504,41495,2018.920231,23128.2674,45175,570,127.6510549,2509,2527,2038.929234,9797.239772,13500,262.8007416,1732,4424,1685,1734.278932,146228.1833,5395,503.4456222,545.3667745,12938,1007,1735,1839.714697,139947.42,3485,526.9441001,2341,4558,3195,2018.358372,32941.42869,5345,136.8475441,1473,3777,4080,1979.453431,56831.27969,6025,575,261.3748194,278.6066038,2787,2734,1844.669903,127197.8376,2635,184.2650072,2664,2833,1835,1879.495913,128555.983,2475,346.1733206,558,6036,2510,1871.721116,119855.8386,3300,306.2330644,916,5094,2550,1836.572549,81695.46434,3310,451.7151749,6967,5070,5445,1814.35629,110472.2238,7575,4855,65.03478645,1378,4409,1589.988347,313622.4649,9575,1060,193.3797078,548,2423,1725.55123,247282.0302,3500,6100,518.2108207,12474,13888,1636.938617,170408.8556,17015,770,436.4649771,1139,3970,1827.204787,191075.4926,2650,7349,10170,18570,1715.551966,148832.0071,36975,3560,254.3512956,1664,13238,1767.90363,219071.0191,11135,2410,395.0551595,9917,15845,2004.023457,24081.31288,37155,900,6033,4720,1813.229873,184548.9122,7355,2695,138.1997037,768,6500,1855.998889,170582.3233,7195,6605,7098,17680,1736.388292,300728.4756,50035,312260,7023,15117,1771.396169,227233.2399,349845,0
42,377.251255,322.5462303,1718,8347,3100,1903.443548,87585.11778,4470,2710,83.96809011,323,4791,2011.940215,46602.22182,16175,490.4374907,4609,249,7875,2007.166349,40054.2555,9575,95.94045772,4151,4331,33250,2028.597744,23344.80586,34410,1295,103.2043045,2432,2561,1998.77185,25286.74474,24350,259.5367867,2038,4439,2385,1901.702306,157950.5906,7160,331.3635259,496.7711039,12308,1258,1740,1368.387931,209963.042,5575,270.9842092,1264,2815,6000,2031.083333,16281.65639,6720,826.8067406,5519,12345,8890,1993.043307,51037.70285,14590,1540,127.6119461,96.12304006,1392,2527,1590.943284,182517.2356,4890,96.50792912,1566,2729,2405,1520.382536,189272.4108,4040,323.0508093,519,3097,2685,1673.363128,180604.2648,3360,232.8681261,620,4044,3005,1505.559068,159754.7457,4160,673.4134161,7157,6908,8990,1941.652392,115562.3236,10875,15435,256.0472814,1170,4227,1270.721429,321955.8105,19635,1370,208.2082876,508,2020,1484.035813,256222.8555,3185,15980,252.4572889,11843,13764,1422.47176,206518.5692,31295,2485,239.9779665,618,2359,1565.974922,232143.0652,4080,7241,9977,27475,1256.742675,195665.1858,92425,17435,114.8562622,1484,14561,1413.898567,114350.2889,31040,11560,301.4007307,8995,16196,1447.167932,100781.2055,34605,1555,8001,3490,1311.047278,113143.7098,8290,3155,222.5410025,1441,8746,1777.505723,261499.9898,7960,9081,8921,25290,1140.09826,358568.7802,58775,75705,8613,17966,1381.940785,147169.1335,144775,1
15,306.9383402,209.3656984,1652,8863,6890,1684.191582,117212.7093,11845,22580,128.9000185,643,4656,984.4160632,142843.2265,45365,284.446751,4265,575,12370,1075.576799,85829.10748,16835,92.1912313,3707,3825,36780,1335.919386,25834.80413,39125,14395,58.22190154,2064,2112,1113.601572,53803.84942,47475,109.167975,1724,3602,4645,932.2228202,100244.1495,19440,228.707377,135.6550871,12344,7752,7620,972.2368766,131560.5036,44835,67.04700375,1215,2934,16735,1092.073797,122662.9252,23075,90.98873343,1312,4658,19170,1204.48722,182317.9807,37000,28125,127.5623897,70.88441498,900,2709,1027.584972,193727.8945,35245,118.321389,1795,5536,8635,1328.288361,213517.6378,19955,137.1157237,1122,4613,4775,1469.747644,128828.7813,10805,199.3140648,824,4830,3420,1720.150585,205645.5343,4730,451.6900404,1683,10655,8405,1490.150506,198053.0606,14495,252180,184.3678999,1475,11409,1062.519576,240663.1638,289470,54460,136.4704955,1183,2960,1092.95726,327196.499,63585,39875,156.6535666,11545,12867,1392.510099,259211.7802,65125,6155,296.6846303,2084,4147,1462.416058,182126.4473,8895,1452,5230,23565,1046.728623,214287.4593,67725,9900,135.8364981,5315,14646,963.7055692,182727.2659,22110,51080,255.365738,11289,18460,1229.079912,189924.0049,133295,1267,4985,10615,1034.019312,160029.0995,19965,6080,108.5481354,1325,7311,1409.971683,239529.3382,12260,7678,8097,23405,893.6218757,255146.594,176125,20285,5404,16531,1289.948961,204080.9283,60940,1
126,279.3285258,231.2793372,1657,7421,4025,1959.330435,68250.19392,5190,440,59.33595169,209,4843,2035.417097,11947.64917,7225,381.3525307,4766,519,4660,2022.927039,28721.47751,7870,140.9016072,4109,4277,14475,2040.843523,7862.184496,15090,2710,66.39571162,2560,2449,1947.277226,45507.56826,30395,170.8486841,1239,4607,2625,1789.874286,220625.0737,19720,223.6042198,293.8137144,12858,1676,3200,1763.734375,234550.4388,7440,281.1497635,1219,3160,4855,1997.161689,57722.57839,9235,141.20069,1235,4131,7085,2012.841214,44957.81036,8335,11855,154.3840351,159.1237488,699,3026,1804.695413,215760.9604,14580,414.0889989,785,2458,2495,1846.362725,177741.5618,8615,200.1546616,957,3500,5030,1918.23161,72004.06465,6205,157.3191342,459,3759,5555,2010.313231,39545.69127,6635,148.7882129,929,13176,7670,1780.969361,258089.4313,12360,3420,160.9574711,1139,2769,1973.081152,75002.19629,11060,4010,74.43270462,578,1538,1909.091078,157695.8858,6700,14730,235.4996944,11521,13716,1832.093584,201533.0157,28835,2815,141.2913721,1199,2029,1909.72818,130995.1755,4820,7041,9727,22060,1885.87398,147833.6056,356875,4710,146.7901966,1000,8749,1921.71946,120474.8638,11750,1915,447.0981511,9398,15807,2037.804429,11361.81899,31265,851,5829,3595,1917.123783,115162.4951,7035,2580,229.9267478,857,7130,1971.661635,68077.31067,6555,9648,9790,9360,1934.71047,116369.1972,26695,34310,7320,10527,1885.300653,141043.2693,68020,0
65,1168.328276,168.8522424,2839,7786,4780,1997.146444,35184.68985,5220,20100,252.3284352,416,4959,2005.705532,47943.22818,31850,137.6842212,4436,326,8580,2018.618298,35592.3106,9240,184.7332867,4293,4625,23270,2041.580576,6835.195807,25780,600,161.6552728,2481,2331,2032.828881,17037.68913,14450,285.7141008,2003,5122,2685,1899.430168,149271.2917,7800,263.4010062,268.8356199,12729,1304,3800,1950.875,92256.89359,7520,364.118782,1447,3695,3475,2010.296403,39305.9697,9395,573.9634082,1962,7691,5295,1956.526912,51660.79696,6055,28525,62.30792306,87.97885691,1670,3985,1460.311242,424882.3754,38710,96.73545527,1342,4124,19635,1376.676089,359626.2042,40170,294.0345568,1438,7385,6955,1563.799425,184459.5694,13445,188.9838537,1027,3616,9135,1419.079912,416545.9279,20225,121.5480657,5801,6053,12060,1742.236318,214725.7949,108595,30120,72.9110016,1377,2200,671.67492,228750.8837,53545,9105,70.36626994,675,1832,1563.483696,251184.6655,12785,130055,85.33396222,11684,14476,1176.269504,423923.6347,185750,2215,78.29349928,722,2518,1800.318393,133227.4844,5450,7342,10539,25625,1925.246829,98712.68737,61950,26080,105.9586671,1715,13450,1395.275727,208498.2005,38810,4815,331.4843988,9504,15135,1935.416383,43126.91956,54745,1672,8932,4960,1780.883065,153710.198,10760,7820,209.8906435,910,6840,1805.931144,141277.6573,12540,8228,9965,27340,1310.226225,224700.701,124180,21180,7549,13011,1643.60373,142390.1247,51210,1
