,minHBint2,VR3_Dt,ECCEN,VR2_Dt,ATS7s,ATS7v,ATS7i,ATS7m,ATS7e,VABC,ATS4e,ATS4m,ATS4i,ATS4s,ATS8e,MDEC-22,ATS8s,ATS8v,SP-0,ATSC8v,ATSC8s,ATSC8m,ATSC8i,SpAD_Dt,AATS8m,AATS8v,VE3_Dt,R_TpiPCTPC,VR2_DzZ,MDEC-33,VR2_Dzs,VR2_Dzp,ATS5e,VR2_D,ATS5m,ATS5s,ATS5v,SdO,fragC,SpDiam_Dt,AATS7v,SpAD_D,ATS1m,CrippenMR,AATS6v,maxaaN,SpDiam_Dzs,SpDiam_Dzp,SpDiam_Dzm,ATSC3v,ATSC3s,ATSC3m,ATSC3i,TPC,ATSC5s,minsOm,minsOH,AATS5v,ATS8i,ATS8m,BCUTw-1h,ATS8p,ATSC2v,ATSC2s,ATS4v,ATSC2m,ATSC2i,ATS3m,WPATH,SpAbs_Dzp,SpAbs_Dzs,ATSC1v,ATSC1i,ATSC1m,MPC9,SHBa,AATSC8v,AATSC8m,EE_Dt,minsF,ATSC0v,ATSC0m,ATSC0i,ATSC7s,ATSC7v,ATSC7i,ATSC7m,SpAD_DzZ,SpAD_Dzi,SpAD_Dzv,SpDiam_D,AATS1v,SsOH,SHBint10,ATS2v,ATS2s,ATS2i,MPC10,ATSC6s,ATSC6v,ATSC6i,ATSC6m,ATSC5v,naasC,VR3_D,VR1_D,VR1_Dt,AMR,ATSC5m,ATSC5i,ATS3v,ATS3s,ATS3e,ATS3i,SHBint9,SHBint8,SHBint2,SHBint7,SHBint6,SHBint5,SHBint4,ATS0s,ATS0v,ATS0i,ATS0m,nTRing,TIC1,TIC2,TIC3,TIC4,TIC5,ATSC4i,ATSC4m,ATSC4s,ATSC4v,MPC6,nAtomP,VR3_Dzs,MPC8,VR3_Dzp,VR3_Dzi,VR1_DzZ,VR1_Dzp,VR1_Dzs,VR1_Dzi,VR1_Dzm,VR1_Dze,AATSC7m,minHBa,ALogp2,SaaN,ATS1v,ATS1i,VR2_Dzv,ATS2m,ATS5i,mindO,TopoPSA,VE3_DzZ,VE3_Dzv,ATS6s,VE3_Dzs,VE3_Dzp,ATS6v,ATS6i,ATS6m,VE3_Dzi,ATS6e,VR1_Dzv,VE3_D,WTPT-1,Class
101,0.0,33.0053,1360,61.6041,689.5556,45801.3436,40093.7647,13813.8304,1905.6629,502.5173,1841.6248,14044.017,38475.6789,614.6944,1769.5019,0.0,624.9722,40788.0764,28.2082,-558.9548,-12.7182,-479.2368,-18.3682,1579.3356,49.914,172.1016,-6.469,6.0481,17.7332,21.2249,17.0202,14.0553,1918.1122,25.3667,14931.3216,705.25,47169.4641,28.5787,679.06,1070.9869,180.3203,589.1647,7842.1081,167.137,184.4471,0.0,459.8056,480.5763,371.0499,-461.3476,-7.3773,-295.9398,10.8497,3079,21.9111,0.0,0.0,184.9783,37489.0623,11829.6169,15.9959,309.3595,-209.3112,-0.5133,45895.4869,-106.5464,-4.289,13719.9374,5915,636.1791,606.5267,146.4208,-14.4033,208.7322,596,38.5392,-2.3585,-2.0221,709.7827,0.0,3959.9077,2476.2822,115.2751,1.3755,-189.6682,6.866,-204.6757,495.7585,480.4557,590.7083,429.9083,280.1983,0.0,0.5721,36281.831,391.0,22570.2075,716,-6.9013,368.6833,19.7042,79.7146,334.309,4,29.2786,1065.4003,2587.374,175.7448,520.7024,-23.4408,43766.5767,529.4722,1606.0293,33022.6153,0.0,0.0,0.0,0.0,3.7911,3.2965,0.0,263.1111,17709.494,12067.6598,6524.7747,15,255.8458,342.0876,405.3327,440.0876,444.8425,-14.7163,-358.2091,-18.3828,-556.5514,271,10,27.6027,484,26.7988,28.2278,744.7943,590.3206,714.8504,829.5652,744.5491,742.9527,-0.8058,1.9056,0.8669,0.0,23256.4562,11922.2103,14.4981,11914.9148,40182.7586,14.1852,59.65,-2.0451,-1.691,720.0833,-1.8112,-1.5965,48140.693,41452.3798,15156.5167,-2.1412,1975.75,608.9211,-2.7865,89.2401,1
55,0.0,25.2415,1230,13.7562,597.8611,36774.2832,36449.88,11075.7703,1687.3147,471.6898,1661.1494,13033.8235,34046.7359,636.8056,1433.9128,29.5387,588.3333,32433.0103,27.4321,-187.8575,17.8252,-73.5953,13.3747,996.1411,53.6407,171.6032,-7.7709,6.3882,12.1123,12.4851,12.1136,11.4884,1783.1244,12.448,12795.7586,631.0278,42462.5326,26.5705,556.07,666.2378,163.4413,557.9988,7434.9582,155.971,165.2807,0.0,448.4906,448.0511,356.762,-547.2638,-10.6406,-379.9563,-20.4903,2170,14.2297,0.0,0.0,178.414,30291.8431,10138.0947,18.9984,242.3804,246.0746,5.1909,42131.6235,194.8047,0.958,12777.173,5384,586.5058,574.0259,168.9912,-9.1976,148.0995,360,51.1848,-0.994,-0.3894,498.0705,14.1894,3621.3406,2424.0282,130.4019,-12.6708,509.9006,2.1509,212.2237,467.2569,455.754,541.8893,414.4004,280.0876,0.0,0.9095,33902.7957,387.6111,20769.9472,422,39.7145,275.7208,14.1387,432.1237,-1133.4349,5,24.8417,497.9187,550.249,164.815,-480.9108,-46.8324,40011.0969,529.25,1449.1707,29516.4115,0.0,8.032,0.0,0.0,3.1633,0.0,0.0,316.8958,16522.7361,11436.0777,6449.8735,9,258.2079,328.8039,371.1223,375.8772,377.8772,0.182,-1392.7323,-47.92,-1568.3023,220,9,24.7328,320,24.5209,24.7298,484.4911,459.5353,484.5447,484.1777,484.234,484.7874,0.9432,1.5528,0.0859,0.0,21566.7416,11159.5058,15.3499,11440.8703,37563.4119,12.8573,72.2,-4.5092,-3.0694,652.8611,-5.3459,-2.4763,41154.906,40363.0969,12641.7887,-4.8294,1862.9977,613.9954,-4.7703,83.7496,0
56,0.0,26.9111,1343,14.436,569.5556,38420.6403,34776.5815,12728.6793,1632.0095,489.9519,1515.3991,13683.1094,31035.8179,596.8457,1566.0914,0.0,507.5046,38332.1775,28.6832,555.1231,-2.7192,850.2624,1.4546,1202.3505,60.9057,182.5342,-8.5907,10.8408,10.8817,9.5782,9.9816,10.2143,1485.8677,11.9152,13340.45,575.4383,38098.3373,27.5494,582.09,832.1763,178.7007,620.5827,8910.4463,163.24,200.5026,5.0728,712.2228,446.2254,317.8286,-309.1293,7.9069,-520.7182,-19.2488,2183,-36.9195,0.0,0.0,199.4677,33290.7219,12790.1955,31.9721,292.5574,61.2543,33.094,38066.656,484.8186,5.9733,13966.0954,6273,593.6334,870.254,10.4452,-21.1276,616.0207,383,33.3643,2.6434,4.0489,601.1752,0.0,3680.1667,2920.8824,118.5565,6.7038,69.9705,39.3442,-145.5778,431.0608,459.1498,568.1738,452.7867,285.5009,0.0,0.0,33307.0157,442.3241,20569.4368,432,-11.8555,-2093.2036,-65.75,-1327.2563,113.8567,6,26.105,500.4379,606.3134,179.8013,-636.0768,32.8344,38185.555,506.0494,1361.2273,27599.0797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.1328,17398.0139,11477.4161,7508.1538,9,240.4003,303.238,372.7248,399.4797,405.4797,-17.057,-902.6509,-31.5404,-692.8423,209,16,25.3613,322,25.4581,27.7008,457.03,428.9998,419.2275,731.7447,457.0235,544.749,-0.6771,1.7286,3.6902,14.9493,22269.0688,11248.838,10.6738,12730.5493,30705.9405,13.7747,92.08,-9.563,-6.257,533.3086,-0.2933,-8.4292,38897.506,30411.3766,13210.3804,-4.4798,1484.9601,448.2992,-6.4131,88.0367,0
139,0.0,18.1146,806,11.1276,446.0417,22509.2515,23478.5981,7822.8068,1094.7219,395.6064,1135.2892,9022.2689,23454.5937,516.3889,1077.105,11.0523,442.7083,22372.7307,22.5956,-214.6869,-41.2565,-436.3958,-12.3549,679.2986,51.6658,160.9549,-9.5761,5.6357,0.0,10.0547,0.0,0.0,1215.1307,8.7603,8186.8468,526.25,25022.2882,24.8728,159.08,503.1782,158.5159,395.832,5630.9037,111.9477,149.5411,0.0,0.0,0.0,0.0,507.1497,-2.7847,346.2729,-3.2566,901,-66.1042,0.0,0.0,161.4341,23078.0615,7181.5463,19.0013,163.8893,67.3444,158.2298,26170.7669,846.8825,77.1748,8427.7421,2965,0.0,0.0,70.1635,-4.6725,50.0178,118,73.0522,-1.5445,-3.1395,339.6493,12.5667,2828.4823,2303.9569,143.2636,9.6608,512.4195,-3.3187,698.0646,0.0,0.0,0.0,296.7851,261.2693,0.0,0.0,22927.2376,535.3611,17266.1324,122,-45.3083,-61.3781,-27.282,-291.7183,-1094.1767,3,17.3731,271.5689,344.9564,114.0425,-972.4159,-30.8409,25598.4499,398.4722,1067.068,22348.9231,18.4909,0.0,0.0,14.5759,0.0,3.4295,6.3011,406.3125,12247.0825,9798.5427,5588.6226,4,204.6359,273.2336,301.4982,307.4982,309.4982,-53.5733,-48.1565,35.148,-899.9091,94,10,0.0,121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9159,3.178,0.8105,0.0,15676.1596,8869.3863,0.0,8964.1192,25509.2971,12.3521,71.19,0.0,0.0,460.8056,0.0,0.0,23328.4188,25911.0167,7313.4847,0.0,1202.098,0.0,-11.2781,62.2981,0
157,7.2342,17.1145,693,8.0591,469.8333,25431.7616,27584.4712,6801.5292,1304.0104,389.6201,1395.3812,9573.3847,30142.9391,515.0903,1172.6631,3.4047,381.5556,20290.9983,22.7148,3598.9468,49.336,3006.5236,18.1458,702.5447,40.5483,126.031,-4.9832,9.5854,13.8765,15.0454,16.5756,17.3983,1169.7398,13.4289,9314.6014,450.9861,28681.4717,24.1742,226.06,483.7298,147.8591,350.6174,5561.1914,122.0813,201.333,4.4849,208.2429,228.2617,195.2956,-2182.3284,-3.5962,-951.1132,-70.0353,1506,0.9602,0.0,9.2146,187.4606,27146.5829,6528.2804,15.9979,158.3545,1518.4256,48.2062,29957.2206,1219.9561,26.3908,9704.9698,2623,318.7095,289.1528,130.1835,-0.9696,64.7554,239,42.2776,22.3537,18.6741,351.2724,0.0,2893.4603,1976.7165,82.4133,-53.8512,-1877.8842,-44.7399,-1561.5763,267.1619,265.2114,294.609,259.9481,271.8045,9.2146,0.0,25281.5099,347.5833,15810.6943,282,4.7245,-2714.1066,-67.8936,-1260.8989,826.6868,6,18.6973,416.2973,249.8332,124.576,391.7823,16.8942,30347.3806,434.7917,1050.6919,20493.7731,12.0565,0.0,7.2342,0.0,0.0,10.7927,8.0799,269.1806,12748.2914,9142.0031,5049.2848,6,198.1319,222.3965,239.9063,247.9063,263.9063,34.6606,1375.3986,15.3782,1749.9329,160,23,19.3499,224,19.5001,19.7154,430.1711,539.3467,513.8438,578.1322,430.3036,429.6456,-9.0789,3.0679,10.6348,4.4849,16308.2702,8648.9754,25.0267,8914.6682,24103.1931,11.2484,92.28,-8.2617,-5.3521,478.8611,-6.0326,-4.5968,28589.2914,21445.3644,9062.0054,-9.2151,1088.7207,775.8291,-4.9576,62.7565,0
78,0.386,23.2101,1223,14.3262,510.0,26028.3287,25295.9643,8642.0815,1206.9001,444.5125,1485.7916,11351.2969,30539.3126,653.25,1079.3169,19.0452,500.0278,22644.8918,25.7335,-228.4028,-9.9381,-318.4905,-10.3916,976.9355,55.4591,164.0934,-10.1678,4.7181,13.6975,8.1853,17.6893,14.8496,1470.5152,13.0608,10635.5562,680.8333,31331.6627,51.8604,432.09,690.3594,167.9247,532.7602,6893.2693,138.7324,168.6694,0.0,427.7159,481.4865,354.0611,-350.1246,-11.7452,-254.8838,2.3652,1608,16.5966,0.0,0.0,165.776,22574.8816,7653.3592,15.998,163.5192,68.5052,16.2418,34517.8415,305.7296,14.3973,11994.6034,4770,612.3593,531.3441,47.5735,-20.5272,130.3889,245,61.9837,-1.6551,-2.3079,488.4678,0.0,3126.8587,2203.5411,99.8608,-42.3986,-223.1234,-3.5571,-442.674,447.8541,430.2778,557.1044,411.8571,275.5699,0.0,0.0,29500.7204,386.5,18906.2636,264,-28.4866,-168.9436,-11.6668,-87.1219,-51.7024,3,22.868,483.2486,530.0691,141.0551,-68.0871,2.9823,35074.2726,531.625,1324.2768,26907.3369,1.1314,5.9137,11.7443,0.0,0.7526,5.6647,0.0,335.0903,14779.8683,10341.024,6071.6814,8,230.5895,298.4365,336.4902,349.2451,355.2451,-25.0713,-1082.7293,-18.1561,-1359.6226,166,10,23.9903,227,23.3429,22.7433,506.8059,549.4342,654.5041,467.2357,507.0209,508.387,-2.856,1.0077,0.1617,0.0,19014.3233,10134.1364,20.9687,10754.7227,30856.6764,12.5442,102.06,-7.466,-5.5093,512.0833,-6.5055,-5.1023,28167.7838,27081.2443,9308.368,-8.1719,1285.8965,775.8402,-9.3187,76.8617,0
135,5.4595,24.5192,1455,9.6478,404.1667,24186.7179,22224.6666,7863.4966,1055.6638,447.0062,1298.1121,13318.2064,25491.7887,535.4444,869.2327,22.0356,346.4167,21700.1958,27.6642,122.7459,5.7094,402.3457,5.5578,1734.258,64.4241,190.3526,-6.9818,17.0173,11.9274,20.9159,21.9737,9.3217,1337.7731,11.3901,11949.4143,573.1667,36653.115,26.362,664.07,1205.9591,174.0052,635.4678,7648.5989,166.4072,180.4698,4.6135,377.4708,541.2839,368.7867,804.4507,0.3559,244.2665,33.8453,2849,2.4832,0.0,0.0,209.4464,17946.1758,7344.3468,15.9969,155.9833,138.7081,1.5156,39687.1885,207.875,-11.7142,13407.9095,6341,673.9151,479.6111,87.4961,-12.366,144.2312,509,39.2777,1.0767,3.5293,709.7827,0.0,3173.1431,2052.3631,101.2273,10.6592,371.442,8.2452,425.9756,464.4964,459.9868,584.4423,499.8783,299.257,0.0,5.7003,33030.8668,387.5833,18006.8076,571,-25.2395,-679.2587,-23.1818,-510.9437,-1530.7901,5,25.1999,466.9937,395.5583,172.9349,-668.8608,-33.8214,38553.7147,505.3611,1224.6722,24103.8914,0.0,0.7339,5.4595,0.0,0.0,0.9637,0.0,271.6667,16768.0135,10150.3459,6482.0538,25,220.0796,293.3408,355.1892,377.9441,382.699,-27.5981,-484.6097,-0.0597,-861.3082,283,22,27.894,455,24.3783,24.9901,489.0248,382.1906,900.9237,443.6977,488.75,489.2608,3.0646,1.7336,0.0643,4.6135,21546.5048,10280.4244,10.1464,11733.7421,26750.6841,12.8967,78.15,-6.4183,-6.1662,503.8056,-6.9454,-6.256,31040.8121,27100.7322,9586.2432,-6.5965,1307.192,416.0011,-7.0455,87.1924,1
104,0.0,23.6067,1260,10.9075,433.6389,31599.4641,23270.0828,10491.5792,1146.1038,420.92,1199.5453,11787.7671,23900.8703,443.5,1031.1848,0.0,375.5556,27673.3311,25.7606,-895.7902,-3.8498,-493.1524,-30.01,1627.4416,65.1365,203.4804,-18.6288,11.3557,16.9051,18.9285,23.2871,15.6578,1185.7614,14.9194,12022.505,447.7778,34562.8609,0.0,634.06,1072.9829,213.5099,538.0338,7313.8546,152.063,218.2869,4.9212,329.1139,415.6961,294.8631,-215.7338,2.1595,64.5229,-3.1563,2716,10.0881,0.0,0.0,222.9862,21179.0493,8858.5705,15.9959,200.8542,-368.9721,-0.7439,34781.7515,-96.2154,5.2795,12014.5938,5043,545.7285,451.2683,53.688,-4.1968,166.7158,524,12.6062,-6.5867,-3.6261,709.7827,0.0,2975.5744,1873.0994,95.6457,-9.4027,-470.2498,3.0233,-757.7849,395.8227,396.4378,473.9452,400.7288,303.3101,0.0,0.0,31169.4333,355.0,16502.4892,604,-4.069,96.5857,-3.703,-211.9591,24.1324,7,24.8283,581.8549,425.3918,166.3118,482.1518,-49.8073,35330.6454,426.4444,1125.6336,22089.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.8611,16065.9384,9468.2649,6079.7896,19,184.4959,240.0453,305.8588,339.0201,351.0201,-5.9564,-132.0918,-1.0998,-412.9614,245,20,26.5647,423,25.0167,25.6776,659.2974,610.6542,908.1959,723.4195,659.1749,658.1942,-5.1202,6.0997,7.4496,14.308,20625.0851,9649.9258,13.306,10938.4154,23731.0278,0.0,61.54,-4.0731,-2.7198,465.0278,-7.0753,-2.0212,33834.471,24409.0359,11792.9225,-3.9087,1206.1113,518.9344,-3.5331,83.617,1
109,0.7553,21.5845,1153,9.2324,542.4444,25068.2617,26947.7472,8952.8369,1223.9192,430.4599,1335.9386,11642.026,27499.8279,578.3333,915.8935,15.1128,384.5,22888.2923,25.6811,847.7322,-13.7654,265.3886,22.3587,1055.9654,67.2022,193.9686,-6.1052,11.1108,13.4636,13.6679,16.1127,11.4529,1309.9289,16.2237,10883.4321,566.1111,31109.4924,26.2717,432.09,733.3179,155.7035,521.3292,6911.0851,138.8037,172.8672,4.1755,340.7937,411.6576,304.5936,-480.4615,1.554,-66.2154,-30.6769,1886,2.5488,0.0,0.0,185.1755,19122.4753,7929.8649,19.0001,160.636,499.3362,10.4687,32966.7033,465.9863,0.0636,11878.2632,4654,537.5876,432.8939,17.562,-7.5941,145.9772,320,49.0601,7.1842,2.2491,527.6726,14.4261,2999.1778,2138.1013,122.3893,100.7132,2369.218,37.8213,2078.734,393.4675,379.2569,485.01,397.9644,279.8375,0.0,1.204,28363.0437,368.4444,17933.6909,366,11.9775,-758.7976,-52.9805,101.4044,-290.8813,10,23.6704,600.2779,341.6003,148.0854,-164.2051,32.2983,33175.7426,493.6111,1174.6178,23660.9968,0.0,0.0,7.4365,7.9369,0.0,7.5035,0.0,313.5833,14705.2775,10115.0802,6114.8486,9,224.6638,272.4311,314.8955,337.6504,337.6504,-48.8684,-375.0056,-21.0855,-757.2214,185,23,23.6449,276,22.3819,22.542,498.1528,423.7565,596.1692,442.4916,499.0407,500.426,12.9114,1.4521,5.1175,8.3098,18749.1128,9894.8299,12.4651,10438.0837,27359.8478,12.8451,82.84,-3.5082,-3.1902,459.0556,-2.7276,-3.3245,28523.0953,26470.0593,9235.4882,-3.6568,1245.1336,461.2092,-6.1814,77.0253,1
108,5.6206,37.5624,1092,299.3796,629.6667,36021.6822,27145.7881,12237.216,1356.9189,460.3916,1414.5621,13978.5243,27979.3021,701.5556,1310.4303,22.0909,650.8333,34713.0587,27.5429,5.0437,27.6928,-144.4173,8.1286,1404.3354,69.5675,205.4027,-5.1052,4.5635,18.1212,24.8516,14.5201,23.3988,1424.3692,19.3628,13868.21,739.1667,38252.5814,53.2944,556.09,955.7678,207.0212,517.0488,7423.6504,155.8237,208.8794,0.0,359.6055,397.0017,294.0215,-157.8687,-15.9062,-76.652,-6.61,2957,-15.4883,11.0702,0.0,212.5143,26396.9365,11756.9011,16.0171,245.1785,-723.4112,26.0567,38571.6707,-156.9311,-26.4577,13353.8563,4955,577.4943,497.2596,114.0216,-0.0562,120.6867,566,59.2533,0.0298,-0.8545,700.4101,0.0,2903.0463,2019.2832,96.983,-43.1875,-47.4041,-4.984,-385.1706,415.0353,399.7721,518.5592,358.4507,298.6055,0.0,0.0,31743.6451,425.2778,17145.4866,678,9.126,-1.9255,-6.29,57.0736,-275.5272,5,26.6089,774.51,11975.184,158.0501,-180.7936,-1.1293,37809.3272,550.1667,1292.0248,25584.3631,0.0,0.0,5.6206,0.0,10.1312,6.2138,0.0,388.1389,15868.0769,9771.0301,6559.1654,14,201.4086,257.2859,323.2859,360.4053,365.1602,-2.6051,-263.6909,-12.1937,-358.4211,270,15,25.4576,460,27.3663,26.8181,724.8485,935.9506,580.8023,816.1,724.6231,723.2879,-2.2136,1.2455,4.0921,0.0,20305.1738,9799.4411,18.8598,11489.7027,28083.8812,11.0702,112.86,-6.2864,-4.546,719.7778,-11.2167,-3.6925,36971.6559,27702.1489,13324.2349,-6.561,1393.2861,754.3937,-5.6252,83.9437,1
